date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,snowfall_sum,wind_speed_10m_max,year,month,day,season
2000-01-01,54.7,30.5,43.1,0.0,0.0,14.3,2000,1,1,Winter
2000-01-02,65.6,41.3,54.3,0.016,0.0,19.2,2000,1,2,Winter
2000-01-03,47.5,36.0,39.6,0.854,0.0,11.6,2000,1,3,Winter
2000-01-04,35.7,23.6,28.4,0.0,0.0,14.3,2000,1,4,Winter
2000-01-05,34.4,21.7,27.2,0.0,0.0,12.0,2000,1,5,Winter
2000-01-06,44.4,28.8,35.1,0.0,0.0,9.9,2000,1,6,Winter
2000-01-07,40.4,28.7,34.0,0.0,0.0,9.2,2000,1,7,Winter
2000-01-08,42.1,32.4,37.6,0.075,0.0,10.1,2000,1,8,Winter
2000-01-09,47.7,39.9,43.3,0.012,0.0,11.5,2000,1,9,Winter
2000-01-10,54.7,39.5,46.3,0.087,0.0,15.8,2000,1,10,Winter
2000-01-11,45.0,32.1,38.4,0.0,0.0,17.0,2000,1,11,Winter
2000-01-12,53.3,30.7,40.9,0.0,0.0,12.0,2000,1,12,Winter
2000-01-13,39.8,25.9,31.3,0.0,0.0,14.3,2000,1,13,Winter
2000-01-14,37.1,22.5,29.0,0.0,0.0,12.8,2000,1,14,Winter
2000-01-15,53.5,30.0,41.6,0.0,0.0,11.4,2000,1,15,Winter
2000-01-16,46.8,31.5,39.9,0.0,0.0,13.2,2000,1,16,Winter
2000-01-17,31.7,30.2,30.8,0.228,0.0,10.4,2000,1,17,Winter
2000-01-18,36.9,26.7,31.2,0.0,0.0,7.1,2000,1,18,Winter
2000-01-19,37.7,26.7,31.7,0.102,0.358,17.9,2000,1,19,Winter
2000-01-20,30.5,15.5,20.3,0.0,0.0,19.1,2000,1,20,Winter
2000-01-21,35.0,15.1,24.2,0.0,0.0,8.3,2000,1,21,Winter
2000-01-22,36.0,26.9,30.6,0.031,0.22,8.6,2000,1,22,Winter
2000-01-23,33.6,20.6,27.5,0.004,0.083,9.9,2000,1,23,Winter
2000-01-24,29.2,12.8,21.1,0.0,0.0,8.8,2000,1,24,Winter
2000-01-25,25.7,18.8,22.7,0.0,0.0,15.6,2000,1,25,Winter
2000-01-26,25.6,12.7,18.9,0.0,0.0,9.6,2000,1,26,Winter
2000-01-27,30.1,12.6,20.6,0.0,0.0,8.8,2000,1,27,Winter
2000-01-28,29.0,16.9,22.6,0.028,0.193,8.8,2000,1,28,Winter
2000-01-29,26.5,18.8,24.2,0.264,1.957,7.3,2000,1,29,Winter
2000-01-30,29.3,16.3,23.3,0.008,0.22,13.8,2000,1,30,Winter
2000-01-31,32.4,13.4,22.5,0.0,0.0,10.6,2000,1,31,Winter
2000-02-01,32.0,21.2,25.4,0.0,0.0,8.9,2000,2,1,Winter
